column,dtype,missing_count,missing_pct,unique_count,has_zero_variance,sample_values
brand,str,0,0.0,59,False,"['Abarth', 'Abarth', 'Abarth']"
model,object,1,0.21,477,False,"['500e Convertible', '500e Hatchback', '600e Scorpionissima']"
top_speed_kmh,int64,0,0.0,38,False,"[155, 155, 200]"
battery_capacity_kWh,float64,0,0.0,121,False,"[37.8, 37.8, 50.8]"
battery_type,str,0,0.0,1,True,"['Lithium-ion', 'Lithium-ion', 'Lithium-ion']"
number_of_cells,float64,202,42.26,38,False,"[192.0, 192.0, 102.0]"
torque_nm,float64,7,1.46,128,False,"[235.0, 235.0, 345.0]"
efficiency_wh_per_km,int64,0,0.0,112,False,"[156, 149, 158]"
range_km,int64,0,0.0,88,False,"[225, 225, 280]"
acceleration_0_100_s,float64,0,0.0,97,False,"[7.0, 7.0, 5.9]"
fast_charging_power_kw_dc,float64,1,0.21,71,False,"[67.0, 67.0, 79.0]"
fast_charge_port,str,1,0.21,2,False,"['CCS', 'CCS', 'CCS']"
towing_capacity_kg,float64,26,5.44,26,False,"[0.0, 0.0, 0.0]"
cargo_volume_l,object,1,0.21,140,False,"[185, 185, 360]"
seats,int64,0,0.0,7,False,"[4, 4, 5]"
drivetrain,str,0,0.0,3,False,"['FWD', 'FWD', 'FWD']"
segment,str,0,0.0,15,False,"['B - Compact', 'B - Compact', 'JB - Compact']"
length_mm,int64,0,0.0,172,False,"[3673, 3673, 4187]"
width_mm,int64,0,0.0,108,False,"[1683, 1683, 1779]"
height_mm,int64,0,0.0,162,False,"[1518, 1518, 1557]"
car_body_type,str,0,0.0,8,False,"['Hatchback', 'Hatchback', 'SUV']"
source_url,str,0,0.0,478,False,"['https://ev-database.org/car/1904/Abarth-500e-Convertible', 'https://ev-database.org/car/1903/Abarth-500e-Hatchback', 'https://ev-database.org/car/3057/Abarth-600e-Scorpionissima']"
