column,dtype,missing_count,missing_pct,unique_count
number_of_cells,float64,202,42.26,38
towing_capacity_kg,float64,26,5.44,26
torque_nm,float64,7,1.46,128
fast_charge_port,str,1,0.21,2
fast_charging_power_kw_dc,float64,1,0.21,71
model,object,1,0.21,477
cargo_volume_l,object,1,0.21,140
seats,int64,0,0.0,7
car_body_type,str,0,0.0,8
height_mm,int64,0,0.0,162
width_mm,int64,0,0.0,108
length_mm,int64,0,0.0,172
segment,str,0,0.0,15
drivetrain,str,0,0.0,3
brand,str,0,0.0,59
acceleration_0_100_s,float64,0,0.0,97
range_km,int64,0,0.0,88
efficiency_wh_per_km,int64,0,0.0,112
battery_type,str,0,0.0,1
battery_capacity_kWh,float64,0,0.0,121
top_speed_kmh,int64,0,0.0,38
source_url,str,0,0.0,478
