model,complexity,cv_MAE,cv_MAE_std,cv_RMSE,cv_RMSE_std,cv_R2,cv_R2_std,test_MAE,test_RMSE,test_R2,test_MedianAE,test_MAPE
Gradient Boosting,medium,12.6,2.46,18.78,4.76,0.9625,0.0206,10.97,15.47,0.9782,8.41,2.86
Extra Trees,medium,12.9,2.47,19.16,4.58,0.9611,0.0214,10.81,14.58,0.9806,7.94,2.8
HistGradientBoosting,medium,13.28,2.33,19.45,4.2,0.9607,0.0189,10.7,14.36,0.9812,7.83,2.92
XGBoost,medium,13.51,2.22,20.19,3.94,0.9576,0.019,11.05,15.1,0.9792,8.86,2.92
LightGBM,medium,13.58,2.72,19.59,4.74,0.9594,0.0224,11.36,15.14,0.9791,8.84,3.11
Random Forest,medium,15.47,2.37,21.75,3.47,0.9509,0.0206,15.29,20.01,0.9634,12.36,3.96
Linear Regression,low,18.78,2.56,24.75,4.5,0.937,0.0257,17.25,22.01,0.9557,14.99,4.51
Decision Tree,low,18.82,1.93,27.16,2.75,0.9241,0.0243,21.05,28.88,0.9238,15.0,5.29
Ridge,low,19.15,2.77,25.08,4.82,0.9362,0.0231,17.42,21.88,0.9563,13.71,4.62
Lasso,low,19.81,3.06,24.8,3.92,0.9368,0.0239,18.36,23.45,0.9498,15.68,4.89
ElasticNet,low,24.21,4.14,30.87,5.32,0.9053,0.0261,22.15,28.32,0.9267,19.61,6.21
KNN (k=7),low,27.55,2.84,35.32,4.02,0.8751,0.0307,27.92,35.05,0.8878,22.5,8.19
DummyRegressor (mean),trivial,85.45,10.36,102.14,11.97,-0.0112,0.018,87.65,105.05,-0.0081,75.0,28.52
