feature,importance_mean,importance_std
battery_per_volume,56.85,3.9002
battery_per_seat,9.4239,1.0241
height_ratio,5.3617,0.8311
battery_capacity_kWh,5.1712,0.5829
battery_per_footprint,3.3372,0.4929
fast_charging_power_kw_dc,2.1072,0.2606
length_mm,1.8751,0.4914
cargo_volume_l,1.2688,0.3823
acceleration_0_100_s,1.025,0.4084
aspect_ratio,0.8611,0.3775
segment,0.8286,0.1959
height_mm,0.8063,0.1572
car_body_type,0.7921,0.1395
top_speed_kmh,0.6722,0.1907
width_mm,0.5363,0.086
charging_per_battery,0.4954,0.1379
number_of_cells,0.4704,0.1253
towing_capacity_kg,0.3933,0.1812
battery_per_towing,0.3154,0.1811
drivetrain,0.2001,0.2375
footprint_m2,0.1893,0.0854
torque_per_volume,0.1704,0.2459
volume_proxy_m3,0.1357,0.0711
torque_nm,0.0312,0.2237
