model,complexity,cv_MAE,cv_MAE_std,cv_RMSE,cv_RMSE_std,cv_R2,cv_R2_std,test_MAE,test_RMSE,test_R2,test_MedianAE,test_MAPE
XGBoost,medium,13.06,2.08,19.8,3.75,0.9579,0.0218,11.79,16.65,0.9747,7.62,2.99
Gradient Boosting,medium,13.2,2.15,19.12,3.72,0.961,0.0189,10.65,14.78,0.9801,8.14,2.72
LightGBM,medium,13.58,1.9,19.41,2.84,0.9604,0.017,11.26,15.23,0.9788,8.57,2.87
HistGradientBoosting,medium,13.86,1.95,19.87,3.18,0.9583,0.0189,10.87,14.62,0.9805,8.79,2.77
Extra Trees,medium,14.29,2.63,20.74,4.41,0.9527,0.0265,13.22,18.93,0.9673,9.45,3.35
Decision Tree,low,20.85,3.09,30.53,3.71,0.9028,0.0392,20.53,26.87,0.9341,17.14,5.19
KNN (k=7),low,23.14,3.0,31.39,5.0,0.8975,0.0402,21.82,32.92,0.901,15.22,5.52
Linear Regression,low,23.58,3.07,29.66,4.18,0.9069,0.0411,22.53,29.11,0.9226,19.07,5.97
Ridge,low,24.56,2.86,30.75,4.11,0.9027,0.034,23.15,29.56,0.9202,20.15,6.04
Lasso,low,26.76,2.99,33.79,4.77,0.8834,0.0399,26.49,34.19,0.8932,23.42,7.24
ElasticNet,low,28.25,3.1,35.95,4.89,0.868,0.0442,27.84,37.0,0.8749,21.38,7.54
DummyRegressor (mean),trivial,33.46,3.54,43.17,5.12,0.8115,0.0557,32.54,42.7,0.8335,24.56,8.6
