feature,mean_abs_shap
battery_per_volume,59.8494
battery_per_seat,17.4
height_ratio,6.6236
battery_capacity_kWh,4.5271
fast_charging_power_kw_dc,4.2784
cargo_volume_l,3.9402
acceleration_0_100_s,3.5926
length_mm,3.587
aspect_ratio,3.18
battery_per_footprint,2.5783
torque_per_volume,2.3878
height_mm,2.1865
car_body_type,1.4565
torque_nm,1.4022
top_speed_kmh,1.3204
width_mm,1.2754
drivetrain,1.2463
battery_per_towing,1.1004
towing_capacity_kg,1.0917
segment,1.0658
charging_per_battery,1.0596
torque_per_seat,0.9864
number_of_cells,0.976
volume_proxy_m3,0.5779
footprint_m2,0.4168
seats,0.1354
